Date,Event ID,Time,Class
2023-12-13,30083853,08:40,Year 7: 7TL
2023-12-13,31240013,09:00,Maths: Year 7: 7a/MaI
2023-12-13,31243095,09:55,Science: Year 7: 7a/ScI
2023-12-13,31339676,11:10,History: Year 7: 7a/HiR
2023-12-13,31341860,12:05,Geography: Year 7: 7a/GeR
2023-12-13,30095629,13:30,Year 7: 7TL
2023-12-13,31247051,14:00,Science: Year 7: 7a/ScI
2023-12-14,30095255,08:40,Year 7: 7TL
2023-12-14,31334972,09:00,Religious Ed: Year 7: 7a/RER
2023-12-14,31239162,09:55,Maths: Year 7: 7a/MaI
2023-12-14,31240910,11:10,English Comb: Year 7: 7a/EnI
2023-12-14,31243486,12:05,Science: Year 7: 7a/ScI
2023-12-14,30101064,13:30,Year 7: 7TL
2023-12-14,31319658,14:00,PE Core: Year 7: 7a/PEY
2023-12-18,29982186,08:40,Year 7: 7TL
2023-12-18,31334384,09:00,Drama: Year 7: 7a/DrR
2023-12-18,31336988,09:55,Computer Science: Year 7: 7a/CsR
2023-12-18,31240864,11:10,Spanish: Year 7: 7a/SpI
2023-12-18,31244406,12:05,Maths: Year 7: 7a/MaI
2023-12-18,29983457,13:30,Year 7: 7TL
2023-12-18,31245280,14:00,Design Tech: Year 7: 7a/DTI
2023-12-19,30082872,08:40,Year 7: 7TL
2023-12-19,31247833,09:00,Spanish: Year 7: 7a/SpI
2023-12-19,31320058,09:55,PE Core: Year 7: 7a/PEY
2023-12-19,31237828,11:10,English Comb: Year 7: 7a/EnI
2023-12-19,31338192,12:05,Religious Ed: Year 7: 7a/RER
2023-12-19,30075677,13:30,Year 7: 7TL
2023-12-19,31242244,14:00,Maths: Year 7: 7a/MaI
2023-12-20,30095223,08:40,Year 7: 7TL
2023-12-20,31340656,09:00,Geography: Year 7: 7a/GeR
2023-12-20,31245717,09:55,English Comb: Year 7: 7a/EnI
2023-12-20,31343484,11:10,Religious Ed: Year 7: 7a/RER
2023-12-20,31344576,12:05,History: Year 7: 7a/HiR
2023-12-20,30107592,13:30,Year 7: 7TL
2023-12-20,31238725,14:00,Science: Year 7: 7a/ScI
2023-12-21,30106578,08:40,Year 7: 7TL
2023-12-21,31240588,09:00,Spanish: Year 7: 7a/SpI
2023-12-21,31339144,09:55,Music: Year 7: 7a/MuR
2023-12-21,31340796,11:10,History: Year 7: 7a/HiR
2023-12-21,31342420,12:05,Art and Design: Year 7: 7a/ArR
2023-12-21,30113079,13:30,Year 7: 7TL
2023-12-21,31248362,14:00,English Comb: Year 7: 7a/EnI
2023-12-22,30112130,08:40,Year 7: 7TL
2023-12-22,31335224,09:00,Religious Ed: Year 7: 7a/RER
2023-12-22,31337520,09:55,History: Year 7: 7a/HiR
2023-12-22,31241784,11:10,Maths: Year 7: 7a/MaI
2023-12-22,31243969,12:05,Design Tech: Year 7: 7a/DTI
2023-12-22,30114810,13:30,Year 7: 7TL
2023-12-22,31340460,14:00,Geography: Year 7: 7a/GeR
2024-01-08,30066509,08:40,Year 7: 7TL
2024-01-08,31246200,09:00,English Comb: Year 7: 7a/EnI
2024-01-08,31248822,09:55,Science: Year 7: 7a/ScI
2024-01-08,31336512,11:10,Art and Design: Year 7: 7a/ArR
2024-01-08,31338388,12:05,Computer Science: Year 7: 7a/CsR
2024-01-08,30068291,13:30,Year 7: 7TL
2024-01-08,31242704,14:00,Maths: Year 7: 7a/MaI
2024-01-09,30098104,08:40,Year 7: 7TL
2024-01-09,29860113,09:00,Year 7: 7TL
2024-01-09,31244866,09:55,Maths: Year 7: 7a/MaI
2024-01-09,31246591,11:10,Spanish: Year 7: 7a/SpI
2024-01-09,31344044,12:05,Music: Year 7: 7a/MuR
2024-01-09,30087841,13:30,Year 7: 7TL
2024-01-09,31238173,14:00,English Comb: Year 7: 7a/EnI
2024-01-10,30107324,08:40,Year 7: 7TL
2024-01-10,31240036,09:00,Maths: Year 7: 7a/MaI
2024-01-10,31243118,09:55,Science: Year 7: 7a/ScI
2024-01-10,31339704,11:10,History: Year 7: 7a/HiR
2024-01-10,31341888,12:05,Geography: Year 7: 7a/GeR
2024-01-10,30118822,13:30,Year 7: 7TL
2024-01-10,31247097,14:00,Science: Year 7: 7a/ScI
2024-01-11,30118008,08:40,Year 7: 7TL
2024-01-11,31335028,09:00,Religious Ed: Year 7: 7a/RER
2024-01-11,31239185,09:55,Maths: Year 7: 7a/MaI
2024-01-11,31240979,11:10,English Comb: Year 7: 7a/EnI
2024-01-11,31243532,12:05,Science: Year 7: 7a/ScI
2024-01-11,30124304,13:30,Year 7: 7TL
2024-01-11,31319678,14:00,PE Core: Year 7: 7a/PEY
2024-01-12,30121578,08:40,Year 7: 7TL
2024-01-12,31342980,09:00,Geography: Year 7: 7a/GeR
2024-01-12,31247350,09:55,English Comb: Year 7: 7a/EnI
2024-01-12,31336008,11:10,Religious Ed: Year 7: 7a/RER
2024-01-12,31239622,12:05,Science: Year 7: 7a/ScI
2024-01-12,30126841,13:30,Year 7: 7TL
2024-01-12,31319318,14:00,PE Core: Year 7: 7a/PEY
2024-01-15,30079012,08:40,Year 7: 7TL
2024-01-15,31334412,09:00,Drama: Year 7: 7a/DrR
2024-01-15,31337016,09:55,Computer Science: Year 7: 7a/CsR
2024-01-15,31240933,11:10,Spanish: Year 7: 7a/SpI
2024-01-15,31244429,12:05,Maths: Year 7: 7a/MaI
2024-01-15,30078375,13:30,Year 7: 7TL
2024-01-15,31245303,14:00,Design Tech: Year 7: 7a/DTI
2024-01-16,30108518,08:40,Year 7: 7TL
2024-01-16,31247879,09:00,Spanish: Year 7: 7a/SpI
2024-01-16,31320078,09:55,PE Core: Year 7: 7a/PEY
2024-01-16,31237874,11:10,English Comb: Year 7: 7a/EnI
2024-01-16,31338248,12:05,Religious Ed: Year 7: 7a/RER
2024-01-16,30099056,13:30,Year 7: 7TL
2024-01-16,31242267,14:00,Maths: Year 7: 7a/MaI
2024-01-17,30118442,08:40,Year 7: 7TL
2024-01-17,31340768,09:00,Geography: Year 7: 7a/GeR
2024-01-17,31245763,09:55,English Comb: Year 7: 7a/EnI
2024-01-17,31343512,11:10,Religious Ed: Year 7: 7a/RER
2024-01-17,31344604,12:05,History: Year 7: 7a/HiR
2024-01-17,30129753,13:30,Year 7: 7TL
2024-01-17,31238748,14:00,Science: Year 7: 7a/ScI
2024-01-18,30130033,08:40,Year 7: 7TL
2024-01-18,31240657,09:00,Spanish: Year 7: 7a/SpI
2024-01-18,31339172,09:55,Music: Year 7: 7a/MuR
2024-01-18,31340880,11:10,History: Year 7: 7a/HiR
2024-01-18,31342448,12:05,Art and Design: Year 7: 7a/ArR
2024-01-18,30135732,13:30,Year 7: 7TL
2024-01-18,31248385,14:00,English Comb: Year 7: 7a/EnI
2024-01-19,30134808,08:40,Year 7: 7TL
2024-01-19,31335280,09:00,Religious Ed: Year 7: 7a/RER
2024-01-19,31337548,09:55,History: Year 7: 7a/HiR
2024-01-19,31241807,11:10,Maths: Year 7: 7a/MaI
2024-01-19,31243992,12:05,Design Tech: Year 7: 7a/DTI
2024-01-19,30137652,13:30,Year 7: 7TL
2024-01-19,31340544,14:00,Geography: Year 7: 7a/GeR
2024-01-22,30091321,08:40,Year 7: 7TL
2024-01-22,31246223,09:00,English Comb: Year 7: 7a/EnI
